policy,12,118.83,32
week,10,160.42,40
law,22,63.21,43
between,36,188.98,26
close,28,134.87,31
them,8,52.8,14
story,3,13.64,7
customer,50,92.92,11
them,40,48.99,1
economic,23,131.98,46
several,18,40.84,12
alone,43,194.4,43
benefit,18,103.79,17
visit,12,122.56,25
wind,45,103.58,6
truth,13,123.25,12
always,34,84.12,22
history,41,199.14,16
move,9,20.05,31
teach,44,101.56,43
film,13,139.69,34
nor,38,125.95,49
especially,11,91.08,28
night,46,13.03,3
fast,47,13.72,36
anyone,36,152.64,25
prove,27,134.54,40
season,41,61.31,28
collection,39,188.66,34
several,49,107.36,15
step,13,20.3,36
else,26,149.2,30
bit,16,67.18,10
course,12,82.67,21
science,46,128.39,39
short,20,98.88,11
though,46,66.16,32
skill,24,24.79,18
fund,7,66.74,2
voice,44,62.61,16
prepare,26,35.29,42
too,23,187.13,15
effect,34,54.74,26
say,5,185.0,16
entire,40,160.66,8
long,9,106.57,38
bring,46,172.59,31
alone,7,11.65,27
what,21,189.02,44
almost,13,18.36,47
treatment,45,60.02,30
here,8,168.01,26
standard,7,12.87,31
system,39,14.31,36
experience,39,32.66,7
picture,34,152.46,31
fact,36,198.89,16
eight,19,141.36,31
theory,19,171.5,19
impact,22,62.16,47
Republican,34,161.91,26
truth,19,64.49,44
rather,28,122.99,11
four,23,24.0,43
most,19,20.84,28
fish,10,172.73,3
network,22,31.82,47
yourself,25,22.36,30
source,19,82.71,37
food,49,139.04,32
use,19,99.13,25
kitchen,41,178.25,30
movement,42,175.79,44
stage,18,38.89,45
pull,44,21.08,28
pattern,9,170.32,46
agent,8,153.23,47
meet,35,184.73,37
road,33,128.98,12
newspaper,28,99.8,15
staff,25,195.71,41
include,16,173.34,27
commercial,13,185.35,6
laugh,10,24.29,47
expect,4,71.56,2
program,27,181.48,6
production,34,169.06,48
above,10,26.26,15
success,46,47.14,13
develop,39,29.35,30
physical,18,173.49,19
response,24,173.4,47
both,28,136.58,44
fact,12,127.28,35
beat,18,148.77,21
sign,34,124.15,27
choice,33,112.21,32
story,24,88.32,24
responsibility,44,99.23,41
movement,10,156.23,23

-- Products
1, "Bread", 1, 2.50, 1
2, "Smartphone", 2, 599.99, 2
3, "Jeans", 3, 39.99, 3
